Gene	WT	YAPKO	YAP_TAZKO
WASH7P	2.66530200472094	2.59535227284175	1.97198163322111
ENSG00000241860	-3.61544680079386	-3.14432729891002	-3.42337934286976
ENSG00000308579	0.0478468748880322	0.326444901761998	0.387553361169992
ENSG00000269981	1.70366906352161	2.07982465932069	1.10940109151727
ENSG00000239906	-1.81507236074249	-1.51603920248385	-1.9249753067299
WASH9P	1.68053780253568	1.64207224238248	1.34659551542903
ENSG00000292994	-2.20091945307132	-3.35450847725337	-2.74262851385241
ENSG00000290385	0.891198052723648	1.31870323161558	1.73667213649957
LINC00115	1.83441766316961	1.80125769782301	2.2260117515941
MTND1P23	-4.55123177481306	-0.802695085796959	0.820914144618742
MTND2P28	0.120915789732882	1.35492263254611	2.73208569958355
MTCO1P12	1.97182206027657	3.60519568155386	4.4128100551397
MTCO2P12	-2.60693510342481	0.124644608822842	1.95049096338861
MTATP6P1	5.25258226515421	6.85922003908432	8.36905746609208
MTCO3P12	-0.402807256266181	-0.0278129197331905	1.67497121596264
LINC01409	-1.33922499135952	-0.404627623230262	0.299699778643847
LINC01128	3.11442821050615	3.22422909000952	3.45786532701873
ENSG00000272438	1.2025262466684	2.28280638139411	1.27108001957163
LINC02593	-3.23627895954388	-0.725198018012473	-3.91919467447206
SAMD11	-0.750050215412389	0.829698546384824	-2.59358439595679
NOC2L	7.43540789018718	7.49197648942783	6.82572018199474
KLHL17	3.78632659589781	4.02096337295686	2.97477865192489
PLEKHN1	0.91058044343158	0.00981240221253064	-2.33661286349891
HES4	-1.15060548704641	-0.599433698278502	-2.22055320113922
ISG15	3.33660014470169	2.98879568348438	2.43475242526606
AGRN	7.87071310166377	7.26206321967067	6.26481866708911
ENSG00000291156	1.1245365226451	0.470717237729806	-0.479104796500359
ENSG00000304119	-1.12988125048851	-0.786071012954669	-0.975464927021326
C1orf159	3.56978711837096	3.8474213800978	3.26710222979834
TTLL10	-0.952173394087994	-3.09619732913163	-1.32837463060159
SDF4	6.3330108837974	6.64895650545624	5.99857155424987
B3GALT6	4.15745178022646	4.41928196131882	4.68115576897492
C1QTNF12	-0.0058035249100306	-1.46318808932022	-3.01170599964836
ENSG00000260179	-4.26856613929474	-3.08116803262212	-3.53491084511094
UBE2J2	5.84108868244741	5.82033968205728	5.3484175228382
LINC01786	-0.77569286125273	-1.32352419276429	-2.07080503751802
SCNN1D	1.08062007864189	1.29694333108968	0.181258103580395
ACAP3	4.45842378186332	4.56517861304562	3.6955542892384
PUSL1	4.73041449689673	4.27696610527598	3.37838005971032
INTS11	6.55048676088152	6.55350734516898	6.21785625518198
ENSG00000240731	-0.976488572733479	-0.371697767690922	-2.50620579251474
CPTP	3.7583342196082	3.80537245137732	3.06891006320268
