ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	178	0.470763952153352	1.7742634687218	6.07740774369301e-06	0.00649067147026414	0.00575114690692633	7197	tags=48%, list=30%, signal=34%	PDGFA/CDKN1A/SESN2/GSTA1/COX5B/CYBB/COX7B/NQO1/SEM1/SESN1/PSMC1/COX6B1/ALB/SMARCD3/GSTP1/TXNIP/ATOX1/PRDX5/PSMB4/MUL1/PSMD14/SLC7A11/FBXL17/GPX3/UFD1/ME1/NFE2L2/PRDX2/PSMB1/MAFG/GSR/UBA52/NLRP3/PSMB7/PSMB5/PSMB2/G6PD/BCL2/PSMA2/COX5A/AKT1/MT-CO2/TXNRD1/ATP7A/NPLOC4/MT-CO3/PSMA3/PSMC2/RBX1/TKT/KEAP1/AMER1/GPX7/BTRC/PSMD3/PSMB6/GCLM/COX7A2/COX6C/GSK3B/PSMC4/SIN3B/PSMA7/GPX2/NDUFA4/AKT3/MAP1LC3B/SOD1/COX7A2L/PSMA4/PRDX6/TXN2/COX4I1/PRDX1/RELA/COX8A/GPX8/SQSTM1/PSMD11/PSMA5/CHD9/PSMD1/SOD2/TBL1X/ATF4
REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	REACTOME_THE_CANONICAL_RETINOID_CYCLE_IN_RODS_TWILIGHT_VISION	15	0.843454038467541	2.0201457805642	1.59663915259321e-05	0.00775540001143066	0.0068717766708813	1847	tags=40%, list=8%, signal=37%	RDH10/LRAT/STRA6/RBP1/CYP4V2/HSD17B1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	154	0.481947177098387	1.77958475634591	2.17848314927828e-05	0.00775540001143066	0.0068717766708813	6360	tags=45%, list=27%, signal=33%	NDUFA3/COX5B/NDUFS5/NDUFA8/COX7B/NDUFB4/ETFB/NDUFB1/COX6B1/COX18/NDUFB3/NDUFS6/MT-ND3/UQCR10/NDUFA2/NDUFB2/SLC25A12/NDUFB11/CMC1/UQCC1/NDUFB7/NDUFS4/NDUFAF5/TTC19/NDUFA1/NDUFS3/NDUFAF8/UQCRHL/UQCRB/UQCC5/NDUFA6/UQCC6/ISCU/SDHA/NDUFA5/MT-CYB/NDUFAF3/COA5/NDUFAF4/NDUFC1/COX14/NDUFB9/NDUFV3/NDUFAF1/NDUFA7/COX5A/COQ10B/GOT1/MT-CO2/NDUFB10/MT-CO3/NDUFAF2/UQCRH/NDUFA12/LYRM7/COX7A2/COX6C/HIGD2A/NDUFA4/NDUFB6/NDUFS2/MT-ND2/COX19/NDUFB5/SLC25A11/COX7A2L/NDUFV1/SDHC/COX4I1
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS	67	0.569155134583113	1.86608832078257	0.000116210887994231	0.0243255712059933	0.0215540001125448	4930	tags=43%, list=21%, signal=34%	NDUFA3/NDUFS5/NDUFA8/NDUFB4/NDUFB1/NDUFB3/NDUFS6/MT-ND3/NDUFA2/NDUFB2/NDUFB11/NDUFB7/NDUFS4/NDUFAF5/NDUFA1/NDUFS3/NDUFAF8/NDUFA6/NDUFA5/NDUFAF3/NDUFAF4/NDUFC1/NDUFB9/NDUFV3/NDUFAF1/NDUFA7/NDUFB10/NDUFAF2/NDUFA12
REACTOME_KEAP1_NFE2L2_PATHWAY	REACTOME_KEAP1_NFE2L2_PATHWAY	109	0.49453684237603	1.74864365849346	0.000136660512393221	0.0243255712059933	0.0215540001125448	5758	tags=39%, list=24%, signal=30%	PDGFA/CDKN1A/SESN2/GSTA1/NQO1/SEM1/SESN1/PSMC1/PSMB4/MUL1/PSMD14/SLC7A11/FBXL17/UFD1/ME1/NFE2L2/PSMB1/MAFG/GSR/UBA52/PSMB7/PSMB5/PSMB2/G6PD/BCL2/PSMA2/AKT1/TXNRD1/NPLOC4/PSMA3/PSMC2/RBX1/TKT/KEAP1/AMER1/BTRC/PSMD3/PSMB6/GCLM/GSK3B/PSMC4/PSMA7/AKT3
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	249	0.405661280192458	1.58287617115051	9.31333814209593e-05	0.0243255712059933	0.0215540001125448	6189	tags=40%, list=26%, signal=30%	SLC25A14/NDUFA3/NNT/MPC1/COX5B/NDUFS5/ATP5PD/NDUFA8/COX7B/NDUFB4/ETFB/NDUFB1/COX6B1/ATP5ME/COX18/NDUFB3/NDUFS6/ATP5MJ/MT-ND3/UQCR10/NDUFA2/NDUFB2/ATP5MC2/MPC2/SUCLG1/ATP5MC3/SLC25A12/NDUFB11/CMC1/MKLN1/ACO2/UQCC1/NDUFB7/NDUFS4/NDUFAF5/TTC19/NDUFA1/NDUFS3/NDUFAF8/ATP5MK/UQCRHL/UCP1/ME1/UQCRB/UQCC5/NDUFA6/UQCC6/ISCU/SDHA/NDUFA5/ISCA1/MT-CYB/PC/PDHA1/MT-ATP8/UBA52/NDUFAF3/COA5/NDUFAF4/ATP5MF/PDK3/NDUFC1/COX14/NDUFB9/NDUFV3/NDUFAF1/NDUFA7/COX5A/IDH3B/IDH3A/COQ10B/GOT1/MT-CO2/NDUFB10/KGD4/MT-CO3/NDUFAF2/SDHAF1/UQCRH/ATP5F1B/NDUFA12/LYRM7/WDR26/FH/COX7A2/ATP5PF/COX6C/HIGD2A/NDUFA4/NDUFB6/ATP5MC1/NDUFS2/MT-ND2/COX19/IDH3G/NDUFB5/SLC25A11/COX7A2L/NDUFV1
REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN	REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN	22	-0.744895360324932	-1.95515021078802	0.000177478700182971	0.0268995696231629	0.023834726090305	2415	tags=55%, list=10%, signal=49%	KRTDAP/NUMB/SPINK5/GJB3/ITGB4/ITGA6/DMKN/AQP3/KLK5/KLK7/KRT19/YAP1
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	197	0.417645615890108	1.58691042599755	0.000201494903544292	0.0268995696231629	0.023834726090305	5605	tags=33%, list=23%, signal=25%	CXCL12/PRKCA/UPF3B/RPS27/ROBO2/RPS27L/RPL41/USP33/SEM1/SRGAP1/PSMC1/SLIT3/PAK2/RPS23/ELOB/MAGOH/CLASP1/RPS4X/RPS25/PSMB4/EVL/PSMD14/SOS1/RPL18A/RPL24/ELOC/RPL38/RPL37/RPL35/PAK1/PSMB1/CDC42/RPL26L1/PAK3/UBA52/PSMB7/PSMB5/PRKACA/RPL30/PSMB2/PFN2/ARHGAP39/RPS28/SOS2/PSMA2/RPS11/RPS29/PSMA3/PSMC2/RBX1/RPS21/ROBO1/SLIT2/ZSWIM8/PSMD3/PSMB6/NTN1/RPS18/RBM8A/PSMC4/RPL35A/SRGAP3/RPL37A/RPS12/PSMA7
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	367	0.363582636150303	1.47009708120184	0.000376966529638968	0.0447333615171575	0.0396365976778283	3255	tags=23%, list=14%, signal=20%	NEFL/NTRK3/RPS6KA3/CASK/NRGN/GABRB2/SLC1A2/KCNMB4/GABRB3/HCN4/RPS6KA2/KCNA2/CACNB2/KCNJ2/PRKCA/GAD2/SLITRK3/GABRA1/IL1RAPL2/SLITRK5/BCHE/EPB41L3/LRRTM3/SLC18A3/FLOT1/GLS/TUBA1A/TUBB6/CPLX1/KCNB1/KCNH5/GABRA5/CACNG4/TUBB2B/SLITRK1/LRRTM4/CHRNE/NLGN1/IL1RAP/GRIP2/MDM2/SYT1/KCNB2/LIN7C/GRIA3/CAMK2D/KCNH7/PRKAR1A/KCNK3/KCNS1/MAPT/HCN2/CACNG3/KCNJ8/GLRA2/SLC5A7/KCNC1/KCND2/VAMP2/KCNC3/ALDH5A1/LRRC7/EPB41L5/SNAP25/NRXN3/ARHGEF9/KCNK2/GNG4/GRIK3/GABRG3/SLC38A2/SLC1A3/GNG11/SLITRK6/KCNJ12/SLC6A4/GABRA3/PRKAB2/SYT2/KCNK9/NPTN/GRIK1/LIN7B
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	31	0.675332675232709	1.84972721189077	0.000450998446755267	0.0481666341134625	0.0426786951192616	1600	tags=23%, list=7%, signal=21%	RPS6KA3/RPS6KA2/MAPKAPK2/MEF2C/JUN/FOS/MEF2A
