gene_id	variance
TRDN	26.7197010186714
ENSG00000289533	25.8313149580724
ENSG00000243004	24.9207294815145
ENSG00000254339	22.7736498978706
ZFP42	21.9101808802513
ENSG00000288595	21.4742108661861
TEK	21.3263356219543
ENSG00000289195	21.1743929505707
MYL9	20.7220162749764
LINC00458	19.9908705670946
LINC00664	19.2999361469267
DANT1	17.0689685940031
RAB17	16.8716184811353
CBR1	16.5003771320923
ALPK3	15.8687536931209
CUTALP	15.7636201500966
CCDC152	15.7346507156726
ENSG00000297836	15.6473222844261
TBX5	15.4857647436793
MTLN	15.3522399351323
PSMD5	15.2635679858961
ENSG00000260834	15.1981088889602
ENSG00000289205	15.1690671870807
MT1G	15.0760228830591
ENSG00000305946	14.9493663361626
ENSG00000197462	14.8310335484767
CCDC141	14.6406505083706
ENSG00000309963	14.5845137760956
ENSG00000289287	14.467758666466
ENSG00000304385	14.4199139620134
ENSG00000288968	14.1489711128901
ACOT2	13.9189347820677
ENSG00000299347	13.8392736580908
ENSG00000309222	13.6127582235727
ZFP28	13.3956675144403
PCDHA6	13.2514178708965
HOXB13	12.8559408734573
MTND1P23	12.8533680486245
ENSG00000243081	12.7439497424397
ENSG00000289161	12.7416637128677
ENSG00000301899	12.7299632325094
EBF2	12.6465604930047
ENSG00000289356	12.6348050157706
IADEN	12.5755215044242
ENSG00000294129	12.4803600814164
GAU1	12.3079183227207
ENSG00000219445	12.0967292875809
POU3F3	12.0950734605548
GUCY2C	12.0151535892554
MYT1L	11.9738029165295
CER1	11.9475311573951
ENSG00000305907	11.7780209592653
ENSG00000274090	11.7462708238458
PRAC2	11.7348860924077
ACP5	11.6773567578909
ENSG00000295525	11.6222502315513
ENSG00000296159	11.5507510787781
LINC02334	11.5323552311051
ENSG00000296898	11.4447829594745
ENSG00000298621	11.4446130161954
TMEM125	11.4206503523303
RPL7AP32	11.3511377008966
NODAL	11.1155579490423
MTCO2P12	11.0337272788085
ENSG00000299647	10.8553375837816
PCDHB5	10.7566395895247
ENSG00000305620	10.7410379762687
TMLHE	10.7040243589734
LINC-ROR	10.586644412534
ENSG00000287830	10.4582445190498
ENSG00000237525	10.3312307346017
MTCO1P40	10.3306196102707
ABHD12B	10.3201430175224
ENSG00000303785	10.1616514016344
ENSG00000234513	10.0776933203875
CHP2	10.0771811761146
MT1H	10.0695346256204
MFSD6L	10.0536652118673
MACC1-AS1	10.0248684065865
TTN	10.0170649826539
CEBPZOS	10.0060815572797
ACTA1	9.99263376020849
CD300A	9.98390841552112
ENSG00000286039	9.88532210622137
ENSG00000297148	9.83512508782458
LINC01194	9.69811790445603
ENSG00000299634	9.68503511412269
QPCT	9.66750661172625
ENSG00000282024	9.63963984357531
MTND4LP30	9.59947427816787
ENSG00000297689	9.54249185628693
RPL36AP7	9.46440459826421
CALCR	9.3756101269747
MTND5P11	9.35089529904646
RPL36AP28	9.29285200794056
IZUMO2	9.18208331015922
PKP3	9.14495419872484
NR2F1	9.02957430807012
CALHM2	8.97986455891785
PKIB	8.97718210180867
SLC25A5P2	8.93501614938856
LINC01013	8.93269096100915
MAP3K13	8.8752940401363
ENSG00000286339	8.86558418956754
MTND4P12	8.79586761805182
ENSG00000298185	8.77476404338098
RPL7P26	8.7218958416662
ATP2C2	8.70229527010901
CCDC125	8.67346366105599
FAM50B	8.65545524214737
LINC02617	8.56664167265373
GRIN1	8.51118328684809
LINC00992	8.5040097165317
ENSG00000251567	8.40536475187619
PON1	8.39233365366275
ENSG00000283221	8.3463220723844
C4orf51	8.28808163313238
ANXA1	8.27525477215302
ENSG00000293723	8.06089575549515
TMSB4XP4	7.95300496567016
ENSG00000260364	7.95290066250229
GDA	7.87818264364068
KLK5	7.87583145181842
SCGB3A2	7.8224117267185
ECHDC3	7.81420086517492
S100A6	7.75511187547322
CCN2	7.74570983438314
ENSG00000270354	7.71026424394665
SLC49A3	7.6817769532828
ENSG00000308486	7.66784384464727
GSTM1	7.6593059759801
FEZF1	7.63221916872599
MYCT1	7.60314757518042
ENSG00000293573	7.57766122938464
ENSG00000280511	7.5580119875086
OXCT2	7.50173350069415
HNRNPCL1	7.47919085111035
PLA2G4C	7.46208262982551
ASCL1	7.44257347559727
NKX6-1	7.43284386722134
RHOXF1-AS1	7.40132400474437
TBX3	7.38223803336728
ENSG00000309912	7.37788884798933
FOXA1	7.37122926551554
FTLP2	7.3611341943568
ZNF454	7.2914529921133
CLDN4	7.28789822067582
ENSG00000303363	7.28489861662621
RPL36AP49	7.26758070987307
LINC02301	7.26038329302812
RPS27P29	7.24289799710658
HMGB1P24	7.23678593664581
ENSG00000288932	7.18821315303218
ENSG00000300995	7.18259203997998
TLX1	7.13446526186845
GAPDHP71	7.12998767915174
ENSG00000287352	7.11399438571525
RBBP8NL	7.11112364338718
C1orf210	7.0987549669192
ENSG00000302334	7.06720204786906
ENSG00000288774	7.00318729705719
LINC02701	6.98548752315103
ENSG00000258417	6.98524370577927
RPS27P19	6.94866645052187
LINC02737	6.93896872253088
UNC80	6.932613073577
LINC02582	6.89618160757168
ENSG00000228592	6.88550072727542
RTP1	6.88072063302659
GABRP	6.87378260889748
ENSG00000290092	6.86539944053911
ENSG00000253348	6.85483744567667
RPL10P3	6.84561169132915
ENSG00000244245	6.83666215163629
ENSG00000289078	6.80813608600422
PANTR1	6.80760706742147
HOXB1	6.79422989627196
ENSG00000242327	6.79117388307504
ENSG00000295484	6.74174077679827
ENSG00000213650	6.74001163845511
FAM20A	6.73919926737816
ENSG00000233393	6.63681891039778
ENSG00000301402	6.61681468346617
GRIN3A	6.613204311813
NANOGP4	6.60584588964336
LINC02700	6.59493866542272
ENSG00000295738	6.57435779729876
ENSG00000239344	6.53438332695115
RGS22	6.52291184148509
LINC00824	6.4984658492989
ENSG00000264449	6.45554092759379
SLC17A9	6.44237732467512
GP6-AS1	6.42980681923986
ENSG00000282048	6.3978132527912
PAX8	6.37635688250254
ENSG00000227077	6.3571498462184
FOXA2	6.33503863480235
ENSG00000299734	6.33429418354323
EEF1A1P4	6.30992807168507
CNTN2	6.30374740493279
ENSG00000234692	6.21242593191303
ENSG00000305640	6.19862873176126
TBC1D3P1-DHX40P1	6.1939265474137
PCDHGB4	6.19115053255369
ATP8B5P	6.17398501377887
SAMD11	6.16849427366554
HNRNPDP1	6.16160658646522
ANKRD19P	6.15350687009898
EMX1	6.13170222341289
ENSG00000248268	6.12119584894539
GPR20	6.11915832353581
LGALS12	6.10479291773088
GARIN2	6.07389089680486
ENSG00000254365	6.07359561803316
EEF1A1P12	6.06393020483153
CALHM1	6.01960551384971
BRINP3	6.006134538951
ENSG00000289262	6.00514615530628
ENSG00000295842	6.00126146003976
ENSG00000297569	5.99543585120264
MYH2	5.97515127330927
SLC22A2	5.97382155622615
IDI2-AS1	5.9713924925554
LGI1	5.97092441896065
ENSG00000288903	5.95670776164443
ILDR1	5.93637039871476
ENSG00000203635	5.93005678978238
ENSG00000250321	5.92219713972578
GNG5B	5.920029026456
HOXC4	5.91425727938752
AP1M2	5.88740241076314
CST1	5.87794475700749
RPL13AP22	5.8691542386282
RPL17P18	5.85961043911698
RPL23AP74	5.85600853894883
SCNN1B	5.85178673076272
ENSG00000261166	5.85096010767324
ENSG00000298367	5.84947072002012
ASTL	5.84915272796162
ENSG00000289166	5.8385130314285
OLIG3	5.82483085708135
LINC01950	5.81735513298333
ENSG00000277954	5.79153603968484
MEI4	5.78309883624109
RPL30P4	5.78050402359431
ATP5MC2P4	5.7642582115431
LINC02570	5.76367195181807
ENSG00000304403	5.76342780671885
ENSG00000309982	5.75212881431658
ENSG00000292246	5.74407993680188
PRTN3	5.73406163813505
ENSG00000301425	5.7275005066819
ENSG00000253252	5.71554867801722
RPS3AP7	5.70720189120776
LINC00051	5.70565703483582
TTLL10	5.70329636164136
ENSG00000230159	5.70018289018029
RXRG	5.6802350340203
CLEC7A	5.63810095176048
HPCAL4	5.63368459520379
ENSG00000215840	5.62743833665472
HILPDA-AS1	5.6224022521184
ENSG00000288967	5.58642666001776
CASTOR1	5.56427043730038
ENSG00000295948	5.52609275161312
CLDN7	5.52380850980641
